step,Energy,Magnet,acc,J
47100001,-1.19874,-0.99938,0.00047,1.19975
47200001,-1.19886,-0.99944,0.00047,1.19978
47300001,-1.19914,-0.99964,0.0003,1.19986
47400001,-1.1994,-0.9997,0.00047,1.19988
47500001,-1.1996,-0.99984,0.00023,1.19994
47600001,-1.19953,-0.99978,0.00019,1.19991
47700001,-1.19935,-0.9997,0.0003,1.19988
47800001,-1.19934,-0.99966,0.0002,1.19986
47900001,-1.19874,-0.99938,0.00046,1.19975
48000001,-1.19902,-0.99948,0.00037,1.19979
48100001,-1.19904,-0.99952,0.00026,1.19981
48200001,-1.19924,-0.99966,0.00039,1.19986
48300001,-1.19929,-0.99966,0.00032,1.19986
48400001,-1.19942,-0.99976,0.00043,1.1999
48500001,-1.19931,-0.99972,0.00032,1.19989
48600001,-1.19907,-0.9996,0.00034,1.19984
48700001,-1.1989,-0.99942,0.00027,1.19977
48800001,-1.19903,-0.9995,0.00046,1.1998
48900001,-1.19889,-0.9995,0.0004,1.1998
49000001,-1.19894,-0.99952,0.00043,1.19981
49100001,-1.19889,-0.9995,0.00049,1.1998
49200001,-1.19875,-0.9994,0.00039,1.19976
49300001,-1.19904,-0.99952,0.0005,1.19981
49400001,-1.1991,-0.99956,0.00046,1.19982
49500001,-1.19922,-0.99962,0.00035,1.19985
49600001,-1.19912,-0.9996,0.00033,1.19984
49700001,-1.1989,-0.99952,0.00038,1.19981
49800001,-1.1989,-0.99954,0.00035,1.19982
49900001,-1.19907,-0.9996,0.00037,1.19984
50000001,-1.19946,-0.99974,0.00035,1.1999
50100001,-1.19951,-0.99974,0.00028,1.1999
50200001,-1.19921,-0.9997,0.00024,1.19988
50300001,-1.19954,-0.9998,0.00015,1.19992
50400001,-1.19919,-0.99966,0.00027,1.19986
50500001,-1.19918,-0.99962,0.0003,1.19985
50600001,-1.19918,-0.99962,0.00036,1.19985
50700001,-1.19886,-0.99944,0.00037,1.19978
50800001,-1.19858,-0.99932,0.00046,1.19973
50900001,-1.19882,-0.99934,0.00045,1.19974
51000001,-1.19862,-0.99932,0.00047,1.19973
51100001,-1.19907,-0.9996,0.00062,1.19984
51200001,-1.19914,-0.99964,0.0003,1.19986
51300001,-1.19936,-0.99972,0.0003,1.19989
51400001,-1.19941,-0.99972,0.00032,1.19989
51500001,-1.19954,-0.9998,0.00032,1.19992
51600001,-1.19931,-0.99972,0.00026,1.19989
51700001,-1.19954,-0.9998,0.00028,1.19992
51800001,-1.1993,-0.9997,0.00021,1.19988
51900001,-1.19898,-0.9996,0.00029,1.19984
52000001,-1.19914,-0.99964,0.00032,1.19986
52100001,-1.1993,-0.99968,0.00034,1.19987
52200001,-1.19917,-0.9996,0.0003,1.19984
52300001,-1.19878,-0.99946,0.00037,1.19978
52400001,-1.1991,-0.99956,0.00041,1.19982
52500001,-1.19929,-0.99966,0.00031,1.19986
52600001,-1.19906,-0.99946,0.00036,1.19978
52700001,-1.19912,-0.9996,0.00033,1.19984
52800001,-1.19954,-0.9998,0.00036,1.19992
52900001,-1.19948,-0.99978,0.00029,1.19991
53000001,-1.19918,-0.99962,0.00038,1.19985
53100001,-1.19932,-0.99962,0.00038,1.19985
53200001,-1.19892,-0.99946,0.0004,1.19978
53300001,-1.19861,-0.99928,0.00055,1.19971
53400001,-1.19896,-0.99944,0.00046,1.19978
